Platform,Customer Name,Customerid Id,Total Amount,Amount After Margin,amountReceived,monthname
AZURE,Purple Talk India Private Limited,9,657553.61,773592.4824,773592,January 2024
AZURE,Hytech Seed India Private Limited,254,6052.08,7120.094118,7120,January 2024
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1025.2,1206.117647,1206,January 2024
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,4433.42,5215.788235,5215,January 2024
AZURE,Krijay Technologies Private Limited,3715,7917.44,9314.635294,9314,January 2024
AZURE,SOUTHERN SPECHEM LLP,3870,972.69,1144.341176,1144,January 2024
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1138.53,1250.0170588,1250,January 2024
AZURE,Tactive Software Systems Private Limited,4937,29673.79,33392.22294,33392,January 2024
AZURE,Infusion Solutions,5609,1133.56,1333.6,1333,January 2024
AZURE,Annet Retransform (Gujarat) LLP,6193,9634.55,11334.76471,11709,January 2024
AZURE,Omnisys Systems,6230,1418.62,1668.964706,1668,January 2024
AZURE,"E Swift Software Private Limited,",6325,24561.9,28896.35294,28896,January 2024
AZURE,Synthesis Solutions LLP,6343,114166.07,131092.1865,136717,January 2024
AZURE,Data Semantics Pvt Ltd,6412,388766.13,457371.917665,457370,January 2024
AZURE,Simplilearn Solutions Private Limited,6604,159185.44,187276.98823,80735,January 2024
AZURE,BridgeLabz Solutions Private Limited,6698,3238.15,3809.588235,3809,January 2024
AZURE,TRDFIN Support Services Private Limited,6713,80959.79,95246.81176,95246,January 2024
AZURE,ELICO HEALTHCARE SERVICES LIMITED,6720,109.18,128.4470588,128,January 2024
AZURE,Barbeque Nation Hospitality Limited,6759,140755.92,165595.2,165595,January 2024
AZURE,Biba Fashion Limited,6784,635.94,748.1647059,748,January 2024
AZURE,Oreops Framework Private Limited,6853,147403.05,168330.4412,168330,January 2024
AZURE,OSAAT Educational Charitable Trust (India),6925,6284.65,7393.705882,7393,January 2024
AZURE,MY CHOICE SAREES PVT LTD,7042,30091.440000000002,35010.139409999996,35010,January 2024
AZURE,Tibrewala Electromech Pvt Ltd,7053,55504.33,65299.21176,65299,January 2024
AZURE,Les Concierges Services Pvt Ltd,7166,2801.4,3295.764706,3295,January 2024
AZURE,Reflections Info Systems PVT LTD,7421,26250.56,30883.01176,27793,January 2024
AZURE,Ncourage Social Enterprise Foundation,7474,50521.59,59437.16471,59437,January 2024
AZURE,Telecon Systems,7575,16008.4,18833.41176,18833,January 2024
AZURE,Association of Muslim Professionals,7659,14564.77,17135.02353,17135,January 2024
AZURE,Master Tax Accounting Services LLP,8334,1669.49,1964.105882,1964,January 2024
AZURE,Intelogixs Research Private Limited,8424,16981.92,19978.72941,19978,January 2024
AZURE,Rallis India Limited,8602,27786.72,32690.25882,32689,January 2024
AZURE,Cloud 9 Technologies,8827,19420.81,22848.01176,22848,January 2024
AZURE,Intellisense Innovative Systems Private Limited,9157,51374.29,57959.51765,57959,January 2024
AZURE,Ziproles Enterprises,9194,44806.25,52713.23529,52713,January 2024
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,9602.03,11296.50588,11296,January 2024
AZURE,Intellisense Innovative Solutions Pvt Ltd,9291,4820.2,4820.2,4820,January 2024
AZURE,Draup Business Solutions Private Limited,9324,7814.98,9194.094118,9194,January 2024
AZURE,AAPKAPAINTER SOLUTIONS PRIVATE LIMITED,9367,260584.97,298937.59469999996,298937,January 2024
AZURE,BOH SOLUTION,9435,8805.18,10359.03529,10359,January 2024
AZURE,Quest InfoTech Solutions,9629,1623.66,1910.188235,1910,January 2024
AZURE,Vamshikrishna K,9651,4922.7,5791.411765,5791,January 2024
AZURE,CRESCENT TAX COMPLIANCE PRIVATE LIMITED,9745,535.94,630.5176471,630,January 2024
AZURE,Purple Talk India Private Limited,9,210381.21,247507.3059,247507,December 2023
AZURE,Hytech Seed India Private Limited,254,6444.93,7582.270588,7582,December 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1025.94,1206.988235,1206,December 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,4457.2,5243.764706,5243,December 2023
AZURE,Krijay Technologies Private Limited,3715,7886.74,9278.517647,9278,December 2023
AZURE,SOUTHERN SPECHEM LLP,3870,970.94,1142.282353,1142,December 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1137.62,1248.9535294,1248,December 2023
AZURE,Tactive Software Systems Private Limited,4937,29777.82,33514.74706,33514,December 2023
AZURE,Infusion Solutions,5609,1132.62,1332.494118,1332,December 2023
AZURE,Annet Retransform (Gujarat) LLP,6193,9633.69,11333.75294,11708,December 2023
AZURE,"E Swift Software Private Limited,",6325,24528.03,28856.50588,28856,December 2023
AZURE,Synthesis Solutions LLP,6343,86897.38,95790.24118,101415,December 2023
AZURE,Data Semantics Pvt Ltd,6412,354377.86,416915.129365,416915,December 2023
AZURE,MRF LIMITED,6599,77.49,91.16470588,91,December 2023
AZURE,Simplilearn Solutions Private Limited,6604,160122.86,188379.83529599998,81226,December 2023
AZURE,BridgeLabz Solutions Private Limited,6698,3232.86,3803.364706,3803,December 2023
AZURE,TRDFIN Support Services Private Limited,6713,79144.78,93111.50588,93111,December 2023
AZURE,Barbeque Nation Hospitality Limited,6759,125542.22,147696.7294,147696,December 2023
AZURE,Biba Fashion Limited,6784,635.89,748.1058824,748,December 2023
AZURE,Oreops Framework Private Limited,6853,151487.83000000002,173136.5253,173136,December 2023
AZURE,OSAAT Educational Charitable Trust (India),6925,3037.86,3573.952941,3573,December 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,30102.08,35022.69235,35022,December 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,55331.0,65095.29412,65095,December 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2797.0,3290.588235,3290,December 2023
AZURE,Bantia Furniture Private Limited,7330,23149.47,27234.67059,27234,December 2023
AZURE,Appcilious Private Limited,7412,1656.04,1948.282353,1948,December 2023
AZURE,Reflections Info Systems PVT LTD,7421,28617.67,33667.84706,30300,December 2023
AZURE,Ncourage Social Enterprise Foundation,7474,50461.23,59366.15294,59366,December 2023
AZURE,Association of Muslim Professionals,7659,14696.81,17290.36471,17290,December 2023
AZURE,Master Tax Accounting Services LLP,8334,1669.35,1963.941176,1963,December 2023
AZURE,Intelogixs Research Private Limited,8424,31549.73,37117.32941,37117,December 2023
AZURE,Rallis India Limited,8602,26764.1,31487.17647,31487,December 2023
AZURE,Cloud 9 Technologies,8827,19424.07,22851.84706,22851,December 2023
AZURE,Intellisense Innovative Systems Private Limited,9157,51016.32,57538.59882,57538,December 2023
AZURE,Ziproles Enterprises,9194,44807.22,52714.37647,52714,December 2023
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,9971.22,11730.84706,11730,December 2023
AZURE,Techlogic Software Services Private Limited,9275,16410.1,19481.06235,19481,December 2023
AZURE,Intellisense Innovative Solutions Pvt Ltd,9291,4819.76,4819.76,4819,December 2023
AZURE,Draup Business Solutions Private Limited,9324,7802.62,9179.552941,9179,December 2023
AZURE,AAPKAPAINTER SOLUTIONS PRIVATE LIMITED,9367,268582.86,308322.0635,308322,December 2023
AZURE,BOH SOLUTION,9435,11797.27,13879.14118,13879,December 2023
AZURE,Quest InfoTech Solutions,9629,1532.67,1803.141176,1803,December 2023
AZURE,Vamshikrishna K,9651,4236.34,4983.929412,4983,December 2023
AZURE,Purple Talk India Private Limited,9,107412.52,126367.6706,126367,November 2023
AZURE,Hytech Seed India Private Limited,254,6992.65,8226.647059,8226,November 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,998.94,1175.223529,1175,November 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,4449.49,5234.694118,5234,November 2023
AZURE,Krijay Technologies Private Limited,3715,7659.41,9011.070588,9011,November 2023
AZURE,SOUTHERN SPECHEM LLP,3870,936.5,1101.764706,1101,November 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1130.45,1240.6241175999999,1240,November 2023
AZURE,Tactive Software Systems Private Limited,4937,29529.02,33223.81824,33223,November 2023
AZURE,Infusion Solutions,5609,1098.0,1291.764706,1291,November 2023
AZURE,Annet Retransform (Gujarat) LLP,6193,9361.86,11013.95294,11388,November 2023
AZURE,Omnisys Systems,6230,55.77,65.61176471,65,November 2023
AZURE,"E Swift Software Private Limited,",6325,23791.74,27990.28235,27990,November 2023
AZURE,Synthesis Solutions LLP,6343,86815.71,95701.69412,101326,November 2023
AZURE,Data Semantics Pvt Ltd,6412,324985.04,382335.3412,382334,November 2023
AZURE,MRF LIMITED,6599,4869.03,5728.270588,5728,November 2023
AZURE,Simplilearn Solutions Private Limited,6604,225963.16,265839.011682,116090,November 2023
AZURE,BridgeLabz Solutions Private Limited,6698,12540.15,14753.11765,14753,November 2023
AZURE,TRDFIN Support Services Private Limited,6713,76927.73,90503.21176,90503,November 2023
AZURE,ELICO HEALTHCARE SERVICES LIMITED,6720,362.94,426.9882353,426,November 2023
AZURE,Barbeque Nation Hospitality Limited,6759,88608.83,104245.6824,104245,November 2023
AZURE,Biba Fashion Limited,6784,623.5,733.5294118,733,November 2023
AZURE,Oreops Framework Private Limited,6853,140243.04,159913.3076,159913,November 2023
AZURE,OSAAT Educational Charitable Trust (India),6925,615.17,723.7294118,723,November 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,29236.059999999998,34004.30412,34004,November 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,53355.78,62771.50588,62771,November 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2712.98,3191.741176,3191,November 2023
AZURE,Bantia Furniture Private Limited,7330,62540.29,73576.81176,73576,November 2023
AZURE,Appcilious Private Limited,7412,4057.42,4773.435294,4773,November 2023
AZURE,Reflections Info Systems PVT LTD,7421,24598.36,28939.24706,26044,November 2023
AZURE,Ncourage Social Enterprise Foundation,7474,48857.94,57479.92941,57479,November 2023
AZURE,Telecon Systems,7575,15700.22,18470.84706,18470,November 2023
AZURE,Association of Muslim Professionals,7659,17773.04,20909.45882,20909,November 2023
AZURE,Master Tax Accounting Services LLP,8334,1654.91,1946.952941,1946,November 2023
AZURE,Intelogixs Research Private Limited,8424,34271.57,40319.49412,40319,November 2023
AZURE,Rallis India Limited,8602,24575.04,28911.81176,28911,November 2023
AZURE,Cloud 9 Technologies,8827,18857.74,22185.57647,22185,November 2023
AZURE,Intellisense Innovative Systems Private Limited,9157,49362.46000000001,55595.782349999994,55595,November 2023
AZURE,Ziproles Enterprises,9194,42264.92,49723.43529,49722,November 2023
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,9222.0,10849.41176,10849,November 2023
AZURE,Techlogic Software Services Private Limited,9275,25197.760000000002,28594.05294,28594,November 2023
AZURE,Intellisense Innovative Solutions Pvt Ltd,9291,4814.13,4814.13,4814,November 2023
AZURE,Draup Business Solutions Private Limited,9324,7583.72,8922.023529,8922,November 2023
AZURE,AAPKAPAINTER SOLUTIONS PRIVATE LIMITED,9367,539502.8500000001,627103.9671,627103,November 2023
AZURE,Purple Talk India Private Limited,9,77112.18,90720.21176,90720,October 2023
AZURE,Hytech Seed India Private Limited,254,5927.49,6973.517647,6973,October 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1023.7,1204.352941,1204,October 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,4686.58,5513.623529,5513,October 2023
AZURE,Krijay Technologies Private Limited,3715,7909.97,9305.847059,9305,October 2023
AZURE,SOUTHERN SPECHEM LLP,3870,959.62,1128.964706,1128,October 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1136.87,1248.1947059,1248,October 2023
AZURE,Tactive Software Systems Private Limited,4937,27549.46,30895.24353,30895,October 2023
AZURE,Infusion Solutions,5609,1129.39,1328.694118,1328,October 2023
AZURE,Annet Retransform (Gujarat) LLP,6193,9620.39,11318.10588,11693,October 2023
AZURE,"E Swift Software Private Limited,",6325,24868.71,29257.30588,29257,October 2023
AZURE,Synthesis Solutions LLP,6343,87810.35,96873.21235,102498,October 2023
AZURE,Data Semantics Pvt Ltd,6412,320277.14,376796.6353,376796,October 2023
AZURE,MRF LIMITED,6599,5120.19,6023.752941,6023,October 2023
AZURE,Simplilearn Solutions Private Limited,6604,237747.38,279702.800094,122329,October 2023
AZURE,BridgeLabz Solutions Private Limited,6698,5913.34,6956.870588,6956,October 2023
AZURE,TRDFIN Support Services Private Limited,6713,67579.97,79505.84706,79505,October 2023
AZURE,Barbeque Nation Hospitality Limited,6759,80247.39,94408.69412,94408,October 2023
AZURE,Biba Fashion Limited,6784,635.01,747.0705882,747,October 2023
AZURE,Oreops Framework Private Limited,6853,156225.93,178717.77180000002,178717,October 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,30054.690000000002,34967.48118,34967,October 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,54862.63,64544.27059,64544,October 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2801.46,3295.835294,3295,October 2023
AZURE,Bantia Furniture Private Limited,7330,62393.99,73404.69412,73404,October 2023
AZURE,Appcilious Private Limited,7412,5115.23,6017.917647,6017,October 2023
AZURE,Reflections Info Systems PVT LTD,7421,26837.03,31572.97647,28414,October 2023
AZURE,PILOG India Private Limited,7431,274281.02999999997,309358.5494,309358,October 2023
AZURE,Ncourage Social Enterprise Foundation,7474,50355.81,59242.12941,59242,October 2023
AZURE,Telecon Systems,7575,104247.29,122643.8706,122643,October 2023
AZURE,Association of Muslim Professionals,7659,16192.94,19050.51765,19050,October 2023
AZURE,Master Tax Accounting Services LLP,8334,8227.13,9678.976471,9678,October 2023
AZURE,Intelogixs Research Private Limited,8424,34327.64,40385.45882,40385,October 2023
AZURE,Rallis India Limited,8602,25030.95,29448.17647,29448,October 2023
AZURE,Cloud 9 Technologies,8827,19423.9,22851.64706,22851,October 2023
AZURE,Intellisense Innovative Systems Private Limited,9157,37630.979999999996,41794.56,41794,October 2023
AZURE,Manimaran Center For Safety Training,9185,705.74,830.2823529,829,October 2023
AZURE,Ziproles Enterprises,9194,25305.67,29771.37647,29770,October 2023
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,9503.03,11180.03529,11180,October 2023
AZURE,Techlogic Software Services Private Limited,9275,24964.4,28319.73235,28319,October 2023
AZURE,Draup Business Solutions Private Limited,9324,7777.7,9150.235294,9150,October 2023
AZURE,AAPKAPAINTER SOLUTIONS PRIVATE LIMITED,9367,955618.92,1116653.884,1116653,October 2023
AZURE,Purple Talk India Private Limited,9,18725.48,22029.97647,22029,September 2023
AZURE,Hytech Seed India Private Limited,254,4994.57,5875.964706,5875,September 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,991.62,1166.611765,1166,September 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,4687.77,5515.023529,5515,September 2023
AZURE,Krijay Technologies Private Limited,3715,7624.6,8970.117647,8970,September 2023
AZURE,SOUTHERN SPECHEM LLP,3870,920.5,1082.941176,1082,September 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1121.46,1230.6264706000002,1230,September 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,23999.62,26728.476469999998,26728,September 2023
AZURE,Infusion Solutions,5609,1090.04,1282.4,1282,September 2023
AZURE,Annet Retransform (Gujarat) LLP,6193,9301.13,10942.50588,11317,September 2023
AZURE,Omnisys Systems,6230,5.78,6.8,6,September 2023
AZURE,"E Swift Software Private Limited,",6325,23619.22,27787.31765,27787,September 2023
AZURE,Synthesis Solutions LLP,6343,85057.43,93674.87176000001,99299,September 2023
AZURE,Data Semantics Pvt Ltd,6412,292519.18,344140.2118,344140,September 2023
AZURE,MRF LIMITED,6599,4941.62,5813.670588,5813,September 2023
AZURE,Simplilearn Solutions Private Limited,6604,229572.12,270084.84696399997,117714,September 2023
AZURE,BridgeLabz Solutions Private Limited,6698,3205.65,3771.352941,3771,September 2023
AZURE,TRDFIN Support Services Private Limited,6713,64306.46,75654.65882,75654,September 2023
AZURE,Barbeque Nation Hospitality Limited,6759,83294.15,97993.11765,97993,September 2023
AZURE,Biba Fashion Limited,6784,619.45,728.7647059,728,September 2023
AZURE,OREOPS FRAMEWORK PRIVATE LIMITED,6853,146858.64,167729.31350000002,167729,September 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,29049.71,33787.60471,33787,September 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,52307.49,61538.22353,61538,September 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2691.24,3166.164706,3166,September 2023
AZURE,Bantia Furniture Private Limited,7330,60559.88,71246.91765,71246,September 2023
AZURE,Appcilious Private Limited,7412,4191.55,4931.235294,4931,September 2023
AZURE,Reflections Info Systems PVT LTD,7421,26934.88,31688.09412,28518,September 2023
AZURE,PILOG India Private Limited,7431,249197.09,279931.6876,279931,September 2023
AZURE,Ncourage Social Enterprise Foundation,7474,48429.39,56975.75294,56975,September 2023
AZURE,Telecon Systems,7575,15456.1,18183.64706,18183,September 2023
AZURE,Association of Muslim Professionals,7659,15601.67,18354.90588,18354,September 2023
AZURE,Master Tax Accounting Services LLP,8334,8072.09,9496.576471,9495,September 2023
AZURE,Intelogixs Research Private Limited,8424,24241.97,28519.96471,28519,September 2023
AZURE,Rallis India Limited,8602,24066.6,28313.64706,28313,September 2023
AZURE,Cloud 9 Technologies,8827,18722.18,22026.09412,22026,September 2023
AZURE,Intellisense Innovative Systems Private Limited,9157,38091.13,42351.46706,42351,September 2023
AZURE,Ziproles Enterprises,9194,7102.8,8356.235294,8355,September 2023
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,9216.75,10843.23529,10843,September 2023
AZURE,Techlogic Software Services Private Limited,9275,21857.53,24671.184119999998,24671,September 2023
AZURE,Draup Business Solutions Private Limited,9324,7540.3,8870.941176,8870,September 2023
AZURE,AAPKAPAINTER SOLUTIONS PRIVATE LIMITED,9367,46632.89,54862.22353,54862,September 2023
AZURE,Purple Talk India Private Limited,9,28298.53,33292.38824,33291,August 2023
AZURE,Hytech Seed India Private Limited,254,5820.93,6848.152941,6848,August 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1007.01,1184.717647,1184,August 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,4777.04,5620.047059,5620,August 2023
AZURE,Krijay Technologies Private Limited,3715,7846.76,9332.208235,9332,August 2023
AZURE,SOUTHERN SPECHEM LLP,3870,926.72,1090.258824,1090,August 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1116.81,1225.9782353,1225,August 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,22452.12,24921.85588,24921,August 2023
AZURE,Infusion Solutions,5609,1110.25,1306.176471,1306,August 2023
AZURE,Zeliot Connected Services Private Limited,6180,76949.97,90529.37647,90529,August 2023
AZURE,Annet Retransform (Gujarat) LLP,6193,10560.33,12423.91765,12799,August 2023
AZURE,Omnisys Systems,6230,122.08,143.6235294,143,August 2023
AZURE,"E Swift Software Private Limited,",6325,24099.15,28351.94118,28351,August 2023
AZURE,Synthesis Solutions LLP,6343,84691.60999999999,93303.76470999999,98928,August 2023
AZURE,Data Semantics Pvt Ltd,6412,313554.61,368887.7765,368887,August 2023
AZURE,Sadhguru Audit and GRC Solutions Private Limited,6414,4533.69,5333.752941,5333,August 2023
AZURE,MRF LIMITED,6599,4928.58,5798.329412,5798,August 2023
AZURE,Simplilearn Solutions Private Limited,6604,233920.02000000002,275200.02353,120112,August 2023
AZURE,BridgeLabz Solutions Private Limited,6698,13959.88,16423.38824,16423,August 2023
AZURE,TRDFIN Support Services Private Limited,6713,64601.71,76002.01176,76002,August 2023
AZURE,Barbeque Nation Hospitality Limited,6759,146200.96,172001.1294,172001,August 2023
AZURE,Biba Fashion Limited,6784,625.18,735.5058824,735,August 2023
AZURE,OREOPS FRAMEWORK PRIVATE LIMITED,6853,132847.16999999998,151292.0135,151292,August 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,29609.600000000002,34449.90235,34449,August 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,53253.12,62650.72941,62650,August 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2746.58,3231.270588,3231,August 2023
AZURE,Bantia Furniture Private Limited,7330,62103.39,73062.81176,73062,August 2023
AZURE,Appcilious Private Limited,7412,5806.22,6830.847059,6830,August 2023
AZURE,Reflections Info Systems PVT LTD,7421,26132.87,30744.55294,27669,August 2023
AZURE,PILOG India Private Limited,7431,246337.55,276690.2918,276690,August 2023
AZURE,Ncourage Social Enterprise Foundation,7474,49319.22,58022.61176,58022,August 2023
AZURE,Telecon Systems,7575,16037.97,18868.2,18868,August 2023
AZURE,Association of Muslim Professionals,7659,16894.23,19875.56471,19875,August 2023
AZURE,Gurutwa Infotech Private Limited,8023,189.27,222.6705882,222,August 2023
AZURE,Master Tax Accounting Services LLP,8334,8315.17,9782.552941,9782,August 2023
AZURE,Intelogixs Research Private Limited,8424,29960.26,35247.36471,35247,August 2023
AZURE,Rallis India Limited,8602,48894.78,57523.27059,57523,August 2023
AZURE,Cloud 9 Technologies,8827,19109.05,22481.23529,22481,August 2023
